,SUMLEV,COUNTY,NAME,POPESTIMATE2024
630,157,37,Burbank city,103533
631,157,37,Calabasas city,22256
632,157,37,Carson city,91358
633,157,37,Cerritos city,46851
634,157,37,Claremont city,36139
635,157,37,Commerce city,11882
636,157,37,Compton city,91129
637,157,37,Covina city,49245
638,157,37,Cudahy city,21694
639,157,37,Culver City city,39883
640,157,37,Diamond Bar city,52292
641,157,37,Downey city,109368
642,157,37,Duarte city,23493
643,157,37,El Monte city,104639
644,157,37,El Segundo city,16544
645,157,37,Gardena city,58921
646,157,37,Glendale city,187823
647,157,37,Glendora city,50101
648,157,37,Hawaiian Gardens city,13457
649,157,37,Hawthorne city,83633
650,157,37,Hermosa Beach city,18687
651,157,37,Hidden Hills city,1689
652,157,37,Huntington Park city,52166
653,157,37,Industry city,256
654,157,37,Inglewood city,102774
655,157,37,Irwindale city,1459
656,157,37,La Cañada Flintridge city,19621
657,157,37,La Habra Heights city,5382
658,157,37,Lakewood city,78494
659,157,37,La Mirada city,46367
660,157,37,Lancaster city,167426
661,157,37,La Puente city,36670
662,157,37,La Verne city,30192
663,157,37,Lawndale city,30160
664,157,37,Lomita city,19841
665,157,37,Long Beach city,450901
666,157,37,Los Angeles city,3878704
667,157,37,Lynwood city,63596
668,157,37,Malibu city,10298
669,157,37,Manhattan Beach city,33453
670,157,37,Maywood city,23838
671,157,37,Monrovia city,37787
672,157,37,Montebello city,60617
673,157,37,Monterey Park city,57996
674,157,37,Norwalk city,98230
675,157,37,Palmdale city,162536
676,157,37,Palos Verdes Estates city,12668
677,157,37,Paramount city,51169
678,157,37,Pasadena city,137195
679,157,37,Pico Rivera city,59363
680,157,37,Pomona city,147966
681,157,37,Rancho Palos Verdes city,40064
682,157,37,Redondo Beach city,68075
683,157,37,Rolling Hills city,1645
684,157,37,Rolling Hills Estates city,8007
685,157,37,Rosemead city,49582
686,157,37,San Dimas city,33226
687,157,37,San Fernando city,23488
688,157,37,San Gabriel city,37926
689,157,37,San Marino city,12105
690,157,37,Santa Clarita city,229159
691,157,37,Santa Fe Springs city,18683
692,157,37,Santa Monica city,90729
693,157,37,Sierra Madre city,10775
694,157,37,Signal Hill city,11279
695,157,37,South El Monte city,19121
696,157,37,South Gate city,90805
697,157,37,South Pasadena city,25656
698,157,37,Temple City city,34989
699,157,37,Torrance city,139576
700,157,37,Vernon city,211
701,157,37,Walnut city,27250
702,157,37,West Covina city,106920
703,157,37,West Hollywood city,34371
704,157,37,Westlake Village city,7593
705,157,37,Whittier city,85589
706,157,37,Balance of Los Angeles County,970753
707,50,39,Madera County,165432
708,157,39,Chowchilla city,19191
709,157,39,Madera city,69094
710,157,39,Balance of Madera County,77147
711,50,41,Marin County,256400
712,157,41,Belvedere city,2080
713,157,41,Corte Madera town,10006
714,157,41,Fairfax town,7476
715,157,41,Larkspur city,12807
716,157,41,Mill Valley city,13904
717,157,41,Novato city,52311
718,157,41,Ross town,2297
719,157,41,San Anselmo town,12645
720,157,41,San Rafael city,59961
721,157,41,Sausalito city,7075
722,157,41,Tiburon town,8933
723,157,41,Balance of Marin County,66905
724,50,43,Mariposa County,17048
725,50,45,Mendocino County,89175
726,157,45,Fort Bragg city,7117
727,157,45,Point Arena city,449
728,157,45,Ukiah city,16067
729,157,45,Willits city,4844
730,157,45,Balance of Mendocino County,60698
731,50,47,Merced County,296774
732,157,47,Atwater city,32248
733,157,47,Dos Palos city,5759
734,157,47,Gustine city,6138
735,157,47,Livingston city,14767
736,157,47,Los Banos city,48684
737,157,47,Merced city,96073
738,157,47,Balance of Merced County,93105
739,50,49,Modoc County,8491
740,157,49,Alturas city,2652
741,157,49,Balance of Modoc County,5839
742,50,51,Mono County,12991
743,157,51,Mammoth Lakes town,7124
744,157,51,Balance of Mono County,5867
745,50,53,Monterey County,436251
746,157,53,Carmel-by-the-Sea city,3124
747,157,53,Del Rey Oaks city,1553
748,157,53,Gonzales city,8431
749,157,53,Greenfield city,21042
750,157,53,King City city,13920
751,157,53,Marina city,23047
752,157,53,Monterey city,29015
753,157,53,Pacific Grove city,14851
754,157,53,Salinas city,160783
755,157,53,Sand City city,328
756,157,53,Seaside city,31524
757,157,53,Soledad city,26345
758,157,53,Balance of Monterey County,102288
759,50,55,Napa County,132727
760,157,55,American Canyon city,21742
761,157,55,Calistoga city,5022
762,157,55,Napa city,76921
763,157,55,St. Helena city,5257
764,157,55,Yountville city,3280
765,157,55,Balance of Napa County,20505
766,50,57,Nevada County,102195
767,157,57,Grass Valley city,14085
768,157,57,Nevada City city,3195
769,157,57,Truckee town,17240
770,157,57,Balance of Nevada County,67675
771,50,59,Orange County,3170435
772,157,59,Aliso Viejo city,50457
773,157,59,Anaheim city,344561
774,157,59,Brea city,47844
775,157,59,Buena Park city,82611
776,157,59,Costa Mesa city,109131
777,157,59,Cypress city,49286
778,157,59,Dana Point city,32585
779,157,59,Fountain Valley city,56036
780,157,59,Fullerton city,140054
